 Jspace =            1
    Gas temperature (K)  0.50E+02
 Total H density (cm-3)  0.10E+05
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.77036336D-01  0.14794730D+00  0.21331125D+00  0.27356192D+00  0.32909919D+00  0.38029172D+00  0.42747935D+00  0.47097538D+00  0.51106856D+00  0.54802512D+00  0.61349068D+00  0.64243432D+00  0.66911359D+00  0.71637377D+00  0.73726844D+00  0.77428168D+00  0.80573004D+00  0.84426370D+00  0.86519036D+00  0.89083179D+00  0.91091363D+00  0.92664131D+00  0.94243973D+00  0.95384471D+00  0.96375017D+00  0.97034154D+00  0.97541009D+00  0.97851899D+00  0.98066255D+00  0.98199783D+00  0.98269371D+00  0.98311570D+00  0.98330256D+00  0.98339518D+00  0.98343166D+00  0.98344486D+00  0.98344937D+00  0.98345066D+00  0.98345097D+00  0.98345103D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00  0.98345105D+00
C           0.16934207D-07  0.15336229D-05  0.12128449D-05  0.99993294D-06  0.85495584D-06  0.75399895D-06  0.68230834D-06  0.63051973D-06  0.59252852D-06  0.56425833D-06  0.54293019D-06  0.51396290D-06  0.50400464D-06  0.49605041D-06  0.48429045D-06  0.47985483D-06  0.47287313D-06  0.46761799D-06  0.46176510D-06  0.45877120D-06  0.45521688D-06  0.45249099D-06  0.45037857D-06  0.44827012D-06  0.44675507D-06  0.44544499D-06  0.44457789D-06  0.44391565D-06  0.44351301D-06  0.44323839D-06  0.44306977D-06  0.44298343D-06  0.44293225D-06  0.44291025D-06  0.44289978D-06  0.44289589D-06  0.44289460D-06  0.44289424D-06  0.44289419D-06  0.44289422D-06  0.44289426D-06  0.44289431D-06  0.44289436D-06  0.44289441D-06  0.44289446D-06  0.44289450D-06  0.44289455D-06  0.44289459D-06  0.44289462D-06  0.44289466D-06  0.44289469D-06  0.44289471D-06  0.44289473D-06  0.44289475D-06  0.44289476D-06  0.44289477D-06  0.44289478D-06  0.44289478D-06  0.44289478D-06  0.44289478D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06  0.44289479D-06
Fe          0.30393505D-09  0.42485634D-11  0.61538785D-11  0.71025627D-11  0.76473588D-11  0.79864341D-11  0.82079570D-11  0.83572495D-11  0.84599606D-11  0.85316171D-11  0.85820848D-11  0.86433143D-11  0.86614747D-11  0.86744400D-11  0.86902778D-11  0.86949500D-11  0.87005447D-11  0.87031983D-11  0.87045621D-11  0.87046640D-11  0.87043328D-11  0.87037837D-11  0.87031903D-11  0.87024383D-11  0.87017738D-11  0.87010778D-11  0.87005205D-11  0.87000069D-11  0.86996290D-11  0.86993178D-11  0.86990838D-11  0.86989368D-11  0.86988291D-11  0.86987709D-11  0.86987357D-11  0.86987185D-11  0.86987108D-11  0.86987076D-11  0.86987066D-11  0.86987064D-11  0.86987064D-11  0.86987066D-11  0.86987068D-11  0.86987069D-11  0.86987071D-11  0.86987073D-11  0.86987074D-11  0.86987076D-11  0.86987077D-11  0.86987079D-11  0.86987080D-11  0.86987080D-11  0.86987081D-11  0.86987082D-11  0.86987082D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11  0.86987083D-11
Mg          0.15047259D-08  0.11762179D-09  0.48018073D-10  0.53089949D-10  0.56278445D-10  0.58155059D-10  0.59341912D-10  0.60126241D-10  0.60659425D-10  0.61028848D-10  0.61288229D-10  0.61603366D-10  0.61697616D-10  0.61765606D-10  0.61850706D-10  0.61876905D-10  0.61910392D-10  0.61928970D-10  0.61943335D-10  0.61948569D-10  0.61953508D-10  0.61956752D-10  0.61959170D-10  0.61961686D-10  0.61963677D-10  0.61965635D-10  0.61967135D-10  0.61968473D-10  0.61969432D-10  0.61970203D-10  0.61970772D-10  0.61971124D-10  0.61971378D-10  0.61971514D-10  0.61971596D-10  0.61971636D-10  0.61971654D-10  0.61971663D-10  0.61971666D-10  0.61971668D-10  0.61971669D-10  0.61971670D-10  0.61971671D-10  0.61971672D-10  0.61971673D-10  0.61971673D-10  0.61971674D-10  0.61971675D-10  0.61971676D-10  0.61971676D-10  0.61971677D-10  0.61971677D-10  0.61971677D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10  0.61971678D-10
S           0.66584756D-07  0.33721249D-10  0.55675619D-10  0.70519200D-10  0.80756705D-10  0.87912754D-10  0.92960860D-10  0.96544566D-10  0.99099872D-10  0.10092743D-09  0.10223721D-09  0.10385249D-09  0.10433785D-09  0.10468685D-09  0.10511853D-09  0.10524857D-09  0.10540988D-09  0.10549424D-09  0.10555320D-09  0.10557190D-09  0.10558750D-09  0.10559691D-09  0.10560403D-09  0.10561205D-09  0.10561907D-09  0.10562663D-09  0.10563288D-09  0.10563880D-09  0.10564325D-09  0.10564697D-09  0.10564981D-09  0.10565161D-09  0.10565294D-09  0.10565367D-09  0.10565411D-09  0.10565433D-09  0.10565444D-09  0.10565448D-09  0.10565450D-09  0.10565451D-09  0.10565452D-09  0.10565453D-09  0.10565453D-09  0.10565454D-09  0.10565454D-09  0.10565455D-09  0.10565455D-09  0.10565455D-09  0.10565456D-09  0.10565456D-09  0.10565456D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09  0.10565457D-09
Si          0.88321490D-09  0.48573524D-11  0.36031771D-11  0.42599232D-11  0.47760564D-11  0.51371291D-11  0.53882834D-11  0.55625835D-11  0.56829582D-11  0.57654050D-11  0.58211615D-11  0.58820109D-11  0.58966959D-11  0.59050352D-11  0.59100816D-11  0.59091959D-11  0.59041822D-11  0.58973815D-11  0.58870478D-11  0.58809010D-11  0.58731477D-11  0.58670534D-11  0.58623432D-11  0.58577248D-11  0.58544985D-11  0.58518050D-11  0.58500963D-11  0.58488547D-11  0.58481449D-11  0.58476964D-11  0.58474489D-11  0.58473398D-11  0.58472884D-11  0.58472741D-11  0.58472721D-11  0.58472742D-11  0.58472763D-11  0.58472778D-11  0.58472787D-11  0.58472792D-11  0.58472795D-11  0.58472798D-11  0.58472801D-11  0.58472805D-11  0.58472807D-11  0.58472810D-11  0.58472813D-11  0.58472815D-11  0.58472818D-11  0.58472820D-11  0.58472821D-11  0.58472823D-11  0.58472824D-11  0.58472825D-11  0.58472826D-11  0.58472826D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11  0.58472827D-11
O           0.60213140D-04  0.11797554D-03  0.15182030D-03  0.17627639D-03  0.19394820D-03  0.20671767D-03  0.21594469D-03  0.22261193D-03  0.22742945D-03  0.23091038D-03  0.23342549D-03  0.23655562D-03  0.23750416D-03  0.23818941D-03  0.23904201D-03  0.23930029D-03  0.23962155D-03  0.23978908D-03  0.23990283D-03  0.23993565D-03  0.23995789D-03  0.23996622D-03  0.23996931D-03  0.23997064D-03  0.23997097D-03  0.23997104D-03  0.23997104D-03  0.23997103D-03  0.23997102D-03  0.23997102D-03  0.23997101D-03  0.23997101D-03  0.23997101D-03  0.23997101D-03  0.23997102D-03  0.23997102D-03  0.23997102D-03  0.23997102D-03  0.23997102D-03  0.23997102D-03  0.23997103D-03  0.23997103D-03  0.23997103D-03  0.23997103D-03  0.23997103D-03  0.23997104D-03  0.23997104D-03  0.23997104D-03  0.23997104D-03  0.23997104D-03  0.23997104D-03  0.23997104D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03  0.23997105D-03
N           0.38684512D-04  0.61989998D-04  0.61992948D-04  0.61995005D-04  0.61996461D-04  0.61997491D-04  0.61998221D-04  0.61998738D-04  0.61999105D-04  0.61999364D-04  0.61999548D-04  0.61999770D-04  0.61999836D-04  0.61999882D-04  0.61999939D-04  0.61999955D-04  0.61999975D-04  0.61999985D-04  0.61999992D-04  0.61999994D-04  0.61999995D-04  0.61999995D-04  0.61999995D-04  0.61999994D-04  0.61999993D-04  0.61999991D-04  0.61999989D-04  0.61999987D-04  0.61999985D-04  0.61999983D-04  0.61999982D-04  0.61999981D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04  0.61999980D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999998D-01  0.89999998D-01  0.89999997D-01  0.89999996D-01  0.89999996D-01  0.89999995D-01  0.89999994D-01  0.89999993D-01  0.89999992D-01  0.89999991D-01  0.89999991D-01  0.89999990D-01  0.89999989D-01  0.89999989D-01  0.89999988D-01  0.89999988D-01  0.89999988D-01  0.89999988D-01  0.89999988D-01  0.89999988D-01  0.89999988D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01
