 Jspace =            1
    Gas temperature (K)  0.20E+03
 Total H density (cm-3)  0.10E+06
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.76092332D-01  0.14435741D+00  0.20569165D+00  0.26079714D+00  0.31030571D+00  0.35478560D+00  0.39473903D+00  0.43063616D+00  0.46289337D+00  0.49186814D+00  0.54128503D+00  0.56229827D+00  0.58117742D+00  0.61337850D+00  0.62707015D+00  0.65042339D+00  0.66927428D+00  0.69096078D+00  0.70199612D+00  0.71469093D+00  0.72389722D+00  0.73057399D+00  0.73671498D+00  0.74071680D+00  0.74382064D+00  0.74563875D+00  0.74685658D+00  0.74749759D+00  0.74787325D+00  0.74806749D+00  0.74815028D+00  0.74819065D+00  0.74820480D+00  0.74821020D+00  0.74821185D+00  0.74821232D+00  0.74821245D+00  0.74821249D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00  0.74821250D+00
C           0.16934207D-07  0.21710859D-08  0.20879623D-08  0.21375141D-08  0.22292815D-08  0.23234104D-08  0.24046736D-08  0.24691345D-08  0.25177483D-08  0.25530749D-08  0.25778880D-08  0.26057593D-08  0.26125378D-08  0.26163161D-08  0.26182809D-08  0.26176151D-08  0.26147366D-08  0.26110574D-08  0.26056415D-08  0.26025036D-08  0.25986509D-08  0.25957304D-08  0.25935622D-08  0.25915398D-08  0.25902109D-08  0.25891757D-08  0.25885678D-08  0.25881602D-08  0.25879455D-08  0.25878196D-08  0.25877545D-08  0.25877268D-08  0.25877132D-08  0.25877084D-08  0.25877066D-08  0.25877060D-08  0.25877059D-08  0.25877059D-08  0.25877059D-08  0.25877059D-08  0.25877060D-08  0.25877060D-08  0.25877061D-08  0.25877061D-08  0.25877062D-08  0.25877063D-08  0.25877063D-08  0.25877064D-08  0.25877065D-08  0.25877066D-08  0.25877067D-08  0.25877068D-08  0.25877069D-08  0.25877071D-08  0.25877072D-08  0.25877074D-08  0.25877075D-08  0.25877077D-08  0.25877079D-08  0.25877081D-08  0.25877084D-08  0.25877086D-08  0.25877089D-08  0.25877091D-08  0.25877094D-08  0.25877097D-08  0.25877100D-08  0.25877103D-08  0.25877106D-08  0.25877109D-08  0.25877112D-08  0.25877115D-08  0.25877118D-08  0.25877121D-08  0.25877124D-08  0.25877126D-08  0.25877128D-08  0.25877130D-08  0.25877132D-08  0.25877134D-08  0.25877135D-08  0.25877136D-08  0.25877137D-08  0.25877137D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877138D-08  0.25877139D-08
Fe          0.30393505D-09  0.33596928D-12  0.53997995D-12  0.67785185D-12  0.77291244D-12  0.83936703D-12  0.88627520D-12  0.91959420D-12  0.94339733D-12  0.96046833D-12  0.97272765D-12  0.98791713D-12  0.99251228D-12  0.99583232D-12  0.99996992D-12  0.10012277D-11  0.10028000D-11  0.10036286D-11  0.10042028D-11  0.10043746D-11  0.10044976D-11  0.10045493D-11  0.10045725D-11  0.10045866D-11  0.10045931D-11  0.10045973D-11  0.10045996D-11  0.10046010D-11  0.10046018D-11  0.10046022D-11  0.10046025D-11  0.10046026D-11  0.10046026D-11  0.10046026D-11  0.10046027D-11  0.10046027D-11  0.10046027D-11  0.10046027D-11  0.10046027D-11  0.10046027D-11  0.10046027D-11  0.10046027D-11  0.10046027D-11  0.10046027D-11  0.10046027D-11  0.10046027D-11  0.10046028D-11  0.10046028D-11  0.10046028D-11  0.10046028D-11  0.10046028D-11  0.10046028D-11  0.10046029D-11  0.10046029D-11  0.10046029D-11  0.10046029D-11  0.10046029D-11  0.10046030D-11  0.10046030D-11  0.10046030D-11  0.10046031D-11  0.10046031D-11  0.10046032D-11  0.10046032D-11  0.10046032D-11  0.10046033D-11  0.10046033D-11  0.10046034D-11  0.10046034D-11  0.10046035D-11  0.10046035D-11  0.10046036D-11  0.10046036D-11  0.10046037D-11  0.10046037D-11  0.10046038D-11  0.10046038D-11  0.10046038D-11  0.10046039D-11  0.10046039D-11  0.10046039D-11  0.10046039D-11  0.10046039D-11  0.10046039D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11  0.10046040D-11
Mg          0.15047259D-08  0.31839635D-11  0.48642914D-11  0.59287429D-11  0.66319426D-11  0.71094678D-11  0.74398488D-11  0.76712607D-11  0.78349675D-11  0.79515675D-11  0.80349003D-11  0.81377136D-11  0.81687335D-11  0.81911286D-11  0.82190335D-11  0.82275217D-11  0.82381495D-11  0.82437697D-11  0.82476914D-11  0.82488798D-11  0.82497462D-11  0.82501224D-11  0.82502999D-11  0.82504137D-11  0.82504705D-11  0.82505086D-11  0.82505295D-11  0.82505431D-11  0.82505502D-11  0.82505544D-11  0.82505566D-11  0.82505575D-11  0.82505580D-11  0.82505582D-11  0.82505584D-11  0.82505585D-11  0.82505585D-11  0.82505586D-11  0.82505586D-11  0.82505586D-11  0.82505587D-11  0.82505587D-11  0.82505588D-11  0.82505589D-11  0.82505589D-11  0.82505590D-11  0.82505591D-11  0.82505592D-11  0.82505593D-11  0.82505594D-11  0.82505595D-11  0.82505596D-11  0.82505597D-11  0.82505599D-11  0.82505600D-11  0.82505602D-11  0.82505604D-11  0.82505606D-11  0.82505608D-11  0.82505610D-11  0.82505613D-11  0.82505615D-11  0.82505618D-11  0.82505621D-11  0.82505624D-11  0.82505627D-11  0.82505630D-11  0.82505634D-11  0.82505637D-11  0.82505640D-11  0.82505644D-11  0.82505647D-11  0.82505650D-11  0.82505653D-11  0.82505656D-11  0.82505659D-11  0.82505661D-11  0.82505663D-11  0.82505665D-11  0.82505667D-11  0.82505668D-11  0.82505669D-11  0.82505670D-11  0.82505671D-11  0.82505671D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11  0.82505672D-11
S           0.66584756D-07  0.34159582D-12  0.56248130D-12  0.72172796D-12  0.83659428D-12  0.91946717D-12  0.97926256D-12  0.10223804D-11  0.10534956D-11  0.10759529D-11  0.10921364D-11  0.11122052D-11  0.11182584D-11  0.11226133D-11  0.11279894D-11  0.11295991D-11  0.11315711D-11  0.11325680D-11  0.11332036D-11  0.11333651D-11  0.11334509D-11  0.11334629D-11  0.11334530D-11  0.11334342D-11  0.11334186D-11  0.11334055D-11  0.11333975D-11  0.11333921D-11  0.11333893D-11  0.11333877D-11  0.11333868D-11  0.11333864D-11  0.11333863D-11  0.11333862D-11  0.11333862D-11  0.11333862D-11  0.11333862D-11  0.11333862D-11  0.11333862D-11  0.11333862D-11  0.11333862D-11  0.11333862D-11  0.11333862D-11  0.11333862D-11  0.11333863D-11  0.11333863D-11  0.11333863D-11  0.11333863D-11  0.11333863D-11  0.11333864D-11  0.11333864D-11  0.11333864D-11  0.11333864D-11  0.11333865D-11  0.11333865D-11  0.11333865D-11  0.11333866D-11  0.11333866D-11  0.11333866D-11  0.11333867D-11  0.11333867D-11  0.11333868D-11  0.11333868D-11  0.11333869D-11  0.11333870D-11  0.11333870D-11  0.11333871D-11  0.11333872D-11  0.11333872D-11  0.11333873D-11  0.11333874D-11  0.11333874D-11  0.11333875D-11  0.11333876D-11  0.11333876D-11  0.11333877D-11  0.11333877D-11  0.11333878D-11  0.11333878D-11  0.11333878D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333879D-11  0.11333880D-11  0.11333879D-11  0.11333880D-11  0.11333880D-11  0.11333880D-11  0.11333880D-11  0.11333880D-11  0.11333880D-11  0.11333880D-11  0.11333880D-11  0.11333880D-11  0.11333880D-11
Si          0.88321490D-09  0.13562979D-12  0.18900886D-12  0.22692650D-12  0.25374978D-12  0.27265886D-12  0.28592897D-12  0.29517899D-12  0.30158115D-12  0.30596548D-12  0.30891763D-12  0.31210708D-12  0.31286149D-12  0.31327928D-12  0.31350523D-12  0.31344309D-12  0.31315971D-12  0.31279763D-12  0.31227110D-12  0.31197026D-12  0.31160564D-12  0.31133309D-12  0.31113308D-12  0.31094847D-12  0.31082825D-12  0.31073523D-12  0.31068088D-12  0.31064454D-12  0.31062544D-12  0.31061426D-12  0.31060848D-12  0.31060602D-12  0.31060482D-12  0.31060440D-12  0.31060424D-12  0.31060419D-12  0.31060418D-12  0.31060418D-12  0.31060418D-12  0.31060418D-12  0.31060418D-12  0.31060419D-12  0.31060419D-12  0.31060419D-12  0.31060420D-12  0.31060420D-12  0.31060421D-12  0.31060421D-12  0.31060422D-12  0.31060422D-12  0.31060423D-12  0.31060423D-12  0.31060424D-12  0.31060425D-12  0.31060426D-12  0.31060427D-12  0.31060428D-12  0.31060429D-12  0.31060430D-12  0.31060431D-12  0.31060433D-12  0.31060434D-12  0.31060436D-12  0.31060437D-12  0.31060439D-12  0.31060441D-12  0.31060442D-12  0.31060444D-12  0.31060446D-12  0.31060448D-12  0.31060450D-12  0.31060451D-12  0.31060453D-12  0.31060455D-12  0.31060457D-12  0.31060458D-12  0.31060459D-12  0.31060461D-12  0.31060462D-12  0.31060463D-12  0.31060463D-12  0.31060464D-12  0.31060464D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12  0.31060465D-12
O           0.60213140D-04  0.11798282D-03  0.15181746D-03  0.17626423D-03  0.19392847D-03  0.20669220D-03  0.21591521D-03  0.22257599D-03  0.22739064D-03  0.23087215D-03  0.23338661D-03  0.23651707D-03  0.23746665D-03  0.23815300D-03  0.23900768D-03  0.23926689D-03  0.23958973D-03  0.23975850D-03  0.23987361D-03  0.23990711D-03  0.23993010D-03  0.23993894D-03  0.23994241D-03  0.23994407D-03  0.23994462D-03  0.23994486D-03  0.23994495D-03  0.23994501D-03  0.23994503D-03  0.23994505D-03  0.23994505D-03  0.23994506D-03  0.23994506D-03  0.23994506D-03  0.23994506D-03  0.23994506D-03  0.23994506D-03  0.23994506D-03  0.23994506D-03  0.23994506D-03  0.23994506D-03  0.23994506D-03  0.23994506D-03  0.23994506D-03  0.23994506D-03  0.23994506D-03  0.23994506D-03  0.23994507D-03  0.23994507D-03  0.23994507D-03  0.23994507D-03  0.23994507D-03  0.23994507D-03  0.23994507D-03  0.23994507D-03  0.23994507D-03  0.23994507D-03  0.23994507D-03  0.23994508D-03  0.23994508D-03  0.23994508D-03  0.23994508D-03  0.23994508D-03  0.23994508D-03  0.23994509D-03  0.23994509D-03  0.23994509D-03  0.23994509D-03  0.23994509D-03  0.23994510D-03  0.23994510D-03  0.23994510D-03  0.23994510D-03  0.23994510D-03  0.23994511D-03  0.23994511D-03  0.23994511D-03  0.23994511D-03  0.23994511D-03  0.23994511D-03  0.23994511D-03  0.23994511D-03  0.23994511D-03  0.23994511D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03  0.23994512D-03
N           0.38684512D-04  0.61999998D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01
